features_id,bedrooms,squareFootage,features,bathrooms,lotSize
58,6.0,4008.0,"{'architectureType': 'Tudor', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Rock, Stone', 'fireplace': True, 'floorCount': 3, 'garage': True, 'garageSpaces': 2, 'garageType': 'Underground / Basement', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Slate', 'roomCount': 11, 'unitCount': 1}",4.0,13068.0
59,4.0,1680.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Gas', 'roomCount': 7, 'unitCount': 1}",1.5,9148.0
60,2.0,842.0,"{'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'roomCount': 5, 'unitCount': 1}",1.0,26290.0
61,2.0,1124.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Asbestos Shingle', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 4, 'unitCount': 1}",1.5,6011.0
62,0.0,1980.0,"{'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'unitCount': 1}",0.0,5000.0
63,2.0,1047.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Masonry', 'roofType': 'Metal', 'roomCount': 4}",1.0,4792.0
64,3.0,2606.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.5,10260.0
65,3.0,1844.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageSpaces': 3, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 7}",2.0,6885.0
66,3.0,1152.0,"{'architectureType': 'Condo / Apartment', 'floorCount': 1, 'unitCount': 1}",2.0,2688.0
67,4.0,1852.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': '2 Story', 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 8, 'unitCount': 1}",2.5,9148.0
68,1.0,800.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'OTHER', 'foundationType': 'Retaining Wall', 'heating': True, 'roomCount': 2}",1.0,274428.0
69,4.0,1694.0,"{'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'roomCount': 8, 'unitCount': 1}",2.0,3648.0
70,2.0,752.0,"{'architectureType': 'Conventional', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 4, 'unitCount': 1}",1.0,7800.0
71,4.0,1920.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1, 'roofType': 'Other', 'unitCount': 1}",2.0,11680.0
72,0.0,1289.0,"{'architectureType': 'Cape Cod', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'foundationType': 'OTHER', 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 5, 'unitCount': 1}",1.5,6200.0
73,3.0,888.0,"{'architectureType': 'Ranch', 'exteriorType': 'Brick', 'floorCount': 1, 'roomCount': 5, 'unitCount': 1}",1.0,9148.0
74,3.0,978.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood', 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 1}",3.0,7405.0
75,3.0,1450.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 5, 'unitCount': 1}",2.0,8712.0
76,2.0,864.0,"{'exteriorType': 'Metal', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1}",2.0,11761.0
77,3.0,1802.0,"{'architectureType': 'A-Frame', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Built-in', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Shingle', 'roomCount': 6, 'unitCount': 1}",2.0,14375.0
78,3.0,2008.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 3, 'garage': True, 'garageSpaces': 1, 'garageType': 'Built-in Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.5,1800.0
79,0.0,0.0,{},0.0,18295.0
80,4.0,2696.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Heat Pump', 'roomCount': 8, 'unitCount': 1}",3.5,15936.0
81,5.0,1680.0,"{'architectureType': 'Split Entry', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 9, 'unitCount': 1}",3.0,20001.0
82,3.0,1641.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}",2.0,8250.0
83,2.0,936.0,nan,1.0,0.0
84,3.0,571.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Commercial', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 8, 'unitCount': 1}",1.0,436.0
85,3.0,1298.0,{'unitCount': 1},1.0,5400.0
86,3.0,4884.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 1, 'foundationType': 'Concrete', 'garage': True, 'garageSpaces': 5, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'poolType': 'Pool, Concrete', 'roofType': 'Tile', 'unitCount': 1}",2.5,35284.0
87,3.0,1087.0,"{'architectureType': 'Bungalow', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'roofType': 'Shingle', 'unitCount': 1}",1.0,5120.0
88,0.0,0.0,nan,0.0,0.0
89,5.0,2420.0,"{'exteriorType': 'Wood', 'floorCount': 2, 'unitCount': 1}",3.0,4552.0
90,1.0,690.0,{},1.0,0.0
91,0.0,0.0,{'unitCount': 1},0.0,8700.0
92,4.0,1254.0,"{'fireplace': True, 'floorCount': 2, 'roomCount': 6, 'unitCount': 1}",1.5,946.0
93,3.0,1728.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood Siding', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Other', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Shingle (Not Wood)', 'roomCount': 6, 'unitCount': 1}",2.0,16379.0
94,4.0,3589.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 10}",2.5,125888.0
95,4.0,1700.0,"{'architectureType': 'Split Entry', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'foundationType': 'OTHER', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,5000.0
96,2.0,754.0,{},1.0,0.0
97,3.0,2100.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'foundationType': 'Concrete', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",3.0,10890.0
98,4.0,2207.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Tile', 'unitCount': 1}",2.0,8400.0
99,4.0,2314.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Siding', 'fireplace': True, 'fireplaceType': '2 Story', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Roll Composition', 'roomCount': 8, 'unitCount': 1}",3.0,8233.0
100,2.0,1234.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt'}",2.0,2963.0
101,0.0,2285.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 3, 'garageType': 'Garage', 'heating': True, 'pool': True, 'roofType': 'Other', 'unitCount': 1}",3.0,8388.0
102,6.0,3916.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}",2.5,7151.0
103,3.0,1386.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",8.0,0.0
104,0.0,2544.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",0.0,6534.0
105,0.0,980.0,{'architectureType': 'Mobile Home'},0.0,0.0
106,4.0,2943.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Roll Composition', 'roomCount': 8, 'unitCount': 1}",2.5,21257.0
107,4.0,1567.0,"{'architectureType': 'French Provincial', 'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'roomCount': 8}",4.0,14323.0
108,3.0,2170.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Built-up (Layered Asphalt)', 'roomCount': 7, 'unitCount': 1}",2.0,6970.0
109,3.0,936.0,"{'architectureType': 'Ranch', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Gas', 'roomCount': 5, 'unitCount': 1}",1.0,7754.0
110,2.0,1568.0,nan,2.0,0.0
111,2.0,912.0,"{'architectureType': 'Ranch / Rambler', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air'}",2.0,9322.0
112,3.0,1082.0,nan,1.0,0.0
